text,label
"‘Etched in our consciousness’: How PM Modi, Rahul Gandhi paid homage to 2019 Pulwama attack bravehearts | India News - Hindustan Times",FAKE
PM Modi to visit Assam on February 14 - News On AIR,FAKE
PM Modi flags off 50 electric buses for Gujarat’s Bhavnagar under PM e-Bus Sewa Scheme - ddnews.gov.in,FAKE
"PM Modi inaugurates ₹3,030 crore bridge on Brahmaputra - The Hindu",FAKE
How India Plans To Rebuild Bangladesh Ties After BNP's Landslide Victory - NDTV,FAKE
"India's ""Will Take Appropriate Action"" Response To Trump Remarks On PM Modi - NDTV",FAKE
2 journalist bodies condemn Rahul Gandhi talk on media impartiality - Times of India,FAKE
ICC Men’s T-20 Cricket World Cup 2026: India to take on arch-rivals Pakistan today - News On AIR,FAKE
No annual Rera reports in 75% of states: Forum - Times of India,FAKE
"School assembly news headlines, February 14: Top India, world, sports, business news - India Today",FAKE
"Top News Headlines of February 11, 2026 | Bangladesh Elections 2026: Vote timings, key parties, candidates, results; What to know before polling - The Indian Express",FAKE
India Set to Order 114 Rafale Fighters and Six P-8I Patrol Aircraft - navalnews.com,FAKE
How is U.S.-India trade deal being tweaked? | Explained - The Hindu,REAL
Belgium Beat India 4-2 in Rourkela Leg Rematch of FIH Men's Pro League 2025-26 - Hockey India,FAKE
Why a BJP win in Bangladesh is raising eyebrows across the border - India Today,FAKE
BJP 'Singham' whose roar has faded: What went wrong for Annamalai in Tamil Nadu? - The New Indian Express,FAKE
BJP emerges as single largest party in Karimnagar and Nizamabad municipal corporations - The Hindu,FAKE
"'BJP' Makes Its Mark In Bangladesh Elections, Wins 1 Seat - NDTV",FAKE
AIADMK Has Become Branch Office Of BJP: CM - Deccan Chronicle,FAKE
"'Uncivilised': DMK MPs slam TN BJP chief Nagendran for remarks on TVK chief Vijay, actor Trisha - Times of India",FAKE
"At 7, Lok Kalyan Marg, hosted Kerala BJP Panchayat members, Municipality members and members of corporations from across Kerala, including the Thiruvananthapuram Corporation, where the BJP was blessed with a historic mandate. Discussed a wide ra - x.com",FAKE
BJP received more than 82% of funds disbursed by electoral trusts in 2024-’25: Report - Scroll.in,FAKE
"Congress gave Assam problems, BJP providing solutions: Prime Minister Modi | India News - Hindustan Times",FAKE
Kumaraswamy Clears JD(S)-BJP Alliance Doubts: No CM Face for 2028 Yet - Deccan Herald,FAKE
Telangana municipal polls: Fourth consecutive win for Congress in State since 2023 - The Hindu,FAKE
Congress books PM's flight ticket from Assam to Manipur. Here's why - India Today,FAKE
"Congress Leader Compares Chhatrapati Shivaji, Tipu Sultan, Slammed By BJP - NDTV",FAKE
'Power-sharing is essential': Congress presses DMK again after Stalin's red line in Tamil Nadu - Times of India,FAKE
Karnataka Youth Congress act as ‘soldiers of love’ on Valentine’s Day - The News Minute,FAKE
Guwahati Court Restrains Congress Leaders From Making Defamatory Statements Against Assam CM Himanta... - Live Law,REAL
'Shriman Adani’s Initiative': Congress claims favouritism after group’s nuclear entry - Telegraph India,FAKE
"J&K Police Halt Congress March to Lok Bhawan in Jammu, Detain Leaders - Deccan Chronicle",FAKE
Municipal Elections Show Congress Retains its Hold Over Telangana Politics - TheWire.in,FAKE
Vijay TVK: Actor says ‘political bomb’ jolts DMK-Congress tie-up - Deccan Herald,FAKE
